python -m cProfile prevsolver.py jcp aoe irh fbt -n 2 -p
         1383756274 function calls (1383756167 primitive calls) in 220.511 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.000    0.000 _compiler.py:214(_compile_charset)
        5    0.000    0.000    0.000    0.000 argparse.py:1594(_pop_action_class)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:599(_check_name_wrapper)
        1    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
       16    0.000    0.000    0.000    0.000 argparse.py:1394(_registry_get)
       63    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       11    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        3    0.000    0.000    0.000    0.000 argparse.py:926(__init__)
       22    0.000    0.000    0.000    0.000 <frozen os>:742(check_str)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       12    0.000    0.000    0.000    0.000 enum.py:1091(__new__)
        5    0.000    0.000    0.000    0.000 argparse.py:841(__init__)
        9    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       24    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        5    0.000    0.000    0.000    0.000 enum.py:192(__get__)
        3    0.000    0.000    0.000    0.000 argparse.py:2332(_get_nargs_pattern)
       12    0.000    0.000    0.000    0.000 _compiler.py:568(isstring)
        1    0.000    0.000    0.000    0.000 bz2.py:26(BZ2File)
       18    0.000    0.000    0.000    0.000 _parser.py:109(__init__)
        3    0.000    0.000    0.000    0.000 _parser.py:82(opengroup)
       19    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       18    0.000    0.000    0.000    0.000 _parser.py:79(groups)
       10    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        8    0.000    0.000    0.000    0.000 {built-in method nt._path_splitroot}
        6    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
       16    0.000    0.000    0.000    0.000 typing.py:1358(__eq__)
        4    0.000    0.000    0.000    0.000 prevsolver.py:525(<listcomp>)
        6    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       18    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.000    0.000 argparse.py:984(__init__)
        1    0.000    0.000    0.000    0.000 lzma.py:38(LZMAFile)
       43    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        5    0.000    0.000    0.000    0.000 {method 'fileno' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
       19    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        5    0.000    0.000    0.000    0.000 argparse.py:1607(_check_conflict)
       13    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        5    0.000    0.000    0.000    0.000 argparse.py:594(format)
        5    0.000    0.000    0.000    0.000 argparse.py:585(_metavar_formatter)
        2    0.000    0.000    0.000    0.000 typing.py:1280(__getattr__)
        3    0.000    0.000    0.000    0.000 argparse.py:1598(_get_handler)
       22    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        6    0.000    0.000    0.000    0.000 _parser.py:73(__init__)
       22    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:1335(_ActionsContainer)
       22    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
        1    0.000    0.000    0.000    0.000 _compression.py:33(DecompressReader)
        1    0.000    0.000    0.000    0.000 <frozen ntpath>:154(splitdrive)
        1    0.000    0.000    0.000    0.000 argparse.py:1715(ArgumentParser)
        1    0.000    0.000    0.000    0.000 argparse.py:1106(__init__)
       15    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        5    0.000    0.000    0.000    0.000 argparse.py:206(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:2219(<listcomp>)
        2    0.000    0.000    0.000    0.000 _compiler.py:405(_generate_overlap_table)
        1    0.000    0.000    0.000    0.000 _parser.py:444(_uniq)
        1    0.000    0.000    0.000    0.000 argparse.py:961(__init__)
        5    0.000    0.000    0.000    0.000 typing.py:275(_check_generic)
        2    0.000    0.000    0.000    0.000 typing.py:1649(<genexpr>)
        2    0.000    0.000    0.000    0.000 argparse.py:955(__call__)
       22    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:895(_resolve_filename)
        2    0.000    0.000    0.000    0.000 prevsolver.py:117(__repr__)
        6    0.000    0.000    0.000    0.000 typing.py:159(_type_convert)
        7    0.000    0.000    0.000    0.000 argparse.py:2229(_parse_optional)
        1    0.000    0.000    0.000    0.000 argparse.py:1544(_get_positional_kwargs)
        9    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:413(has_location)
        3    0.000    0.000    0.000    0.000 typing.py:1364(__hash__)
        1    0.000    0.000    0.000    0.000 argparse.py:1860(_get_positional_actions)
        2    0.000    0.000    0.000    0.000 _compiler.py:465(_get_charset_prefix)
       15    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1097(__init__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1220(__init__)
       12    0.000    0.000    0.000    0.000 typing.py:1351(<genexpr>)
        3    0.000    0.000    0.000    0.000 argparse.py:2091(<listcomp>)
        1    0.000    0.000    0.000    0.000 prevsolver.py:91(letterboxd_word)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:962(create_module)
        5    0.000    0.000    0.000    0.000 enum.py:1243(value)
        1    0.000    0.000    0.000    0.000 _compression.py:9(BaseStream)
        7    0.000    0.000    0.000    0.000 _parser.py:166(__setitem__)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        4    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       16    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
       11    0.000    0.000    0.000    0.000 __init__.py:96(<lambda>)
        7    0.000    0.000    0.000    0.000 _compiler.py:426(_get_iscased)
        9    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        4    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1122(get_filename)
        4    0.000    0.000    0.000    0.000 __init__.py:422(<genexpr>)
        1    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
        5    0.000    0.000    0.000    0.000 argparse.py:2547(_check_value)
        9    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        7    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        4    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        4    0.000    0.000    0.000    0.000 _parser.py:160(__delitem__)
        1    0.000    0.000    0.000    0.000 argparse.py:109(_AttributeHolder)
        1    0.000    0.000    0.000    0.000 argparse.py:1260(FileType)
        1    0.000    0.000    0.000    0.000 argparse.py:1315(Namespace)
        1    0.000    0.000    0.000    0.000 argparse.py:1861(<listcomp>)
        1    0.000    0.000    0.000    0.000 argparse.py:885(BooleanOptionalAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1645(_ArgumentGroup)
        6    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:1687(_MutuallyExclusiveGroup)
        1    0.000    0.000    0.000    0.000 argparse.py:790(Action)
        1    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:931(create_module)
        1    0.000    0.000    0.000    0.000 argparse.py:924(_StoreAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1104(_HelpAction)
        1    0.000    0.000    0.000    0.000 argparse.py:978(__call__)
        1    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.000    0.000 <frozen ntpath>:35(_get_bothseps)
        1    0.000    0.000    0.000    0.000 argparse.py:1016(_AppendAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1123(_VersionAction)
        1    0.000    0.000    0.000    0.000 argparse.py:2223(<listcomp>)
        1    0.000    0.000    0.000    0.000 argparse.py:727(MetavarTypeHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:761(ArgumentError)
        2    0.000    0.000    0.000    0.000 argparse.py:623(<listcomp>)
        4    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _imp.get_frozen_object}
        1    0.000    0.000    0.000    0.000 argparse.py:959(_StoreConstAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1054(_AppendConstAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1081(_CountAction)
        1    0.000    0.000    0.000    0.000 argparse.py:204(_Section)
        1    0.000    0.000    0.000    0.000 prevsolver.py:511(CommandLine)
        1    0.000    0.000    0.000    0.000 shutil.py:67(SpecialFileError)
        2    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 <frozen codecs>:260(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:999(_StoreFalseAction)
        1    0.000    0.000    0.000    0.000 argparse.py:982(_StoreTrueAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1151(_ChoicesPseudoAction)
        1    0.000    0.000    0.000    0.000 argparse.py:676(RawDescriptionHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:687(RawTextHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:698(ArgumentDefaultsHelpFormatter)
