python -m cProfile solver.py jcp aoe irh fbt -n 2 -p
         3975333 function calls (3975075 primitive calls) in 0.724 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       28    0.000    0.000    0.000    0.000 typing.py:1290(__setattr__)
       39    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        2    0.000    0.000    0.000    0.000 argparse.py:1647(__init__)
      111    0.000    0.000    0.000    0.000 _parser.py:247(match)
        5    0.000    0.000    0.000    0.000 argparse.py:1480(_add_action)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1696(path_hook_for_FileFinder)
        1    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:675(_validate_timestamp_pyc)
      133    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        3    0.000    0.000    0.000    0.000 argparse.py:2465(_get_values)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:770(create_module)
       81    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1030(__exit__)
       90    0.000    0.000    0.000    0.000 _parser.py:158(__len__)
       78    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       19    0.000    0.000    0.000    0.000 _compiler.py:214(_compile_charset)
        4    0.000    0.000    0.000    0.000 typing.py:1251(__init__)
       16    0.000    0.000    0.000    0.000 _compiler.py:396(_simple)
       67    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
       22    0.000    0.000    0.000    0.000 <frozen os>:748(encodekey)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
       12    0.000    0.000    0.000    0.000 _parser.py:222(__init__)
       58    0.000    0.000    0.000    0.000 _parser.py:284(tell)
        5    0.000    0.000    0.000    0.000 argparse.py:601(_format_args)
        7    0.000    0.000    0.000    0.000 enum.py:1364(_iter_member_by_def_)
        3    0.000    0.000    0.000    0.000 gettext.py:216(_expand_lang)
     13/9    0.000    0.000    0.000    0.000 _compiler.py:434(_get_literal_prefix)
       81    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1026(__enter__)
       22    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        3    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        4    0.000    0.000    0.000    0.000 _compiler.py:384(_mk_bitmap)
        8    0.000    0.000    0.000    0.000 typing.py:1561(<genexpr>)
      138    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        4    0.000    0.000    0.000    0.000 argparse.py:1560(_get_optional_kwargs)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      109    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      141    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       48    0.000    0.000    0.000    0.000 _parser.py:170(append)
        9    0.000    0.000    0.000    0.000 _parser.py:82(opengroup)
        4    0.000    0.000    0.000    0.000 typing.py:168(_type_check)
       37    0.000    0.000    0.000    0.000 argparse.py:1390(register)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
       29    0.000    0.000    0.000    0.000 typing.py:1238(_is_dunder)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:422(spec_from_loader)
       57    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:599(_check_name_wrapper)
        4    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
       15    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:405(parent)
        1    0.000    0.000    0.000    0.000 <frozen ntpath>:242(basename)
        4    0.000    0.000    0.000    0.000 _parser.py:256(getwhile)
        4    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
       12    0.000    0.000    0.000    0.000 _parser.py:367(_escape)
       11    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        7    0.000    0.000    0.000    0.000 enum.py:1354(_iter_member_by_value_)
       13    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      127    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       42    0.000    0.000    0.000    0.000 _parser.py:79(groups)
       44    0.000    0.000    0.000    0.000 _parser.py:109(__init__)
       19    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
      127    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       24    0.000    0.000    0.000    0.000 _compiler.py:568(isstring)
        4    0.000    0.000    0.000    0.000 _compiler.py:386(<listcomp>)
        1    0.000    0.000    0.000    0.000 <frozen ntpath>:208(split)
        7    0.000    0.000    0.000    0.000 _compiler.py:465(_get_charset_prefix)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
        2    0.000    0.000    0.000    0.000 argparse.py:2514(<listcomp>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1559(__init__)
       52    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      8/4    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        1    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
       77    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       18    0.000    0.000    0.000    0.000 {built-in method nt._path_splitroot}
      8/4    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        6    0.000    0.000    0.000    0.000 argparse.py:2521(_get_value)
       16    0.000    0.000    0.000    0.000 argparse.py:1394(_registry_get)
        1    0.000    0.000    0.000    0.000 argparse.py:157(HelpFormatter)
        1    0.000    0.000    0.000    0.000 numbers.py:32(Complex)
       12    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
       12    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       22    0.000    0.000    0.000    0.000 <frozen os>:742(check_str)
        5    0.000    0.000    0.000    0.000 argparse.py:1594(_pop_action_class)
        4    0.000    0.000    0.000    0.000 typing.py:245(_collect_parameters)
       39    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        8    0.000    0.000    0.000    0.000 enum.py:192(__get__)
       30    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       17    0.000    0.000    0.000    0.000 _parser.py:166(__setitem__)
       19    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
       31    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        3    0.000    0.000    0.000    0.000 argparse.py:926(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:1149(_SubParsersAction)
        1    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
        5    0.000    0.000    0.000    0.000 argparse.py:841(__init__)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
       48    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 bz2.py:26(BZ2File)
        3    0.000    0.000    0.000    0.000 locale.py:396(normalize)
       48    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       12    0.000    0.000    0.000    0.000 _parser.py:73(__init__)
        1    0.000    0.000    0.000    0.000 numbers.py:147(Real)
