python -m cProfile solver.py JCP AOE IRH FBT -n 3
10768 solutions found!
         67872111 function calls (34121990 primitive calls) in 21.535 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       82    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 <frozen ntpath>:208(split)
        7    0.000    0.000    0.000    0.000 _compiler.py:396(_simple)
       13    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       16    0.000    0.000    0.000    0.000 typing.py:1358(__eq__)
        1    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
        7    0.000    0.000    0.000    0.000 argparse.py:2521(_get_value)
       36    0.000    0.000    0.000    0.000 _parser.py:158(__len__)
        1    0.000    0.000    0.000    0.000 bz2.py:26(BZ2File)
       73    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:599(_check_name_wrapper)
      5/4    0.000    0.000    0.000    0.000 _compiler.py:434(_get_literal_prefix)
       73    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        2    0.000    0.000    0.000    0.000 _parser.py:94(closegroup)
        1    0.000    0.000    0.000    0.000 argparse.py:1149(_SubParsersAction)
        1    0.000    0.000    0.000    0.000 argparse.py:2514(<listcomp>)
        8    0.000    0.000    0.000    0.000 _parser.py:367(_escape)
       17    0.000    0.000    0.000    0.000 argparse.py:1394(_registry_get)
       28    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       22    0.000    0.000    0.000    0.000 <frozen os>:742(check_str)
        5    0.000    0.000    0.000    0.000 argparse.py:1594(_pop_action_class)
       45    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        3    0.000    0.000    0.000    0.000 argparse.py:926(__init__)
       17    0.000    0.000    0.000    0.000 _parser.py:284(tell)
        5    0.000    0.000    0.000    0.000 _compiler.py:214(_compile_charset)
       11    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        5    0.000    0.000    0.000    0.000 argparse.py:841(__init__)
        5    0.000    0.000    0.000    0.000 enum.py:192(__get__)
       28    0.000    0.000    0.000    0.000 _parser.py:247(match)
       18    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        3    0.000    0.000    0.000    0.000 locale.py:396(normalize)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
        5    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.000    0.000 argparse.py:984(__init__)
        1    0.000    0.000    0.000    0.000 lzma.py:38(LZMAFile)
        9    0.000    0.000    0.000    0.000 {built-in method nt._path_splitroot}
       21    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       10    0.000    0.000    0.000    0.000 enum.py:1091(__new__)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
       16    0.000    0.000    0.000    0.000 _parser.py:109(__init__)
        1    0.000    0.000    0.000    0.000 solver.py:91(letterboxd_word)
       26    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       26    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        9    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       10    0.000    0.000    0.000    0.000 _compiler.py:568(isstring)
       13    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       21    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:895(_resolve_filename)
        1    0.000    0.000    0.000    0.000 argparse.py:1715(ArgumentParser)
        3    0.000    0.000    0.000    0.000 argparse.py:1598(_get_handler)
        5    0.000    0.000    0.000    0.000 argparse.py:1607(_check_conflict)
        5    0.000    0.000    0.000    0.000 {method 'fileno' of '_io.TextIOWrapper' objects}
        2    0.000    0.000    0.000    0.000 typing.py:1280(__getattr__)
        4    0.000    0.000    0.000    0.000 solver.py:229(<listcomp>)
        5    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
        2    0.000    0.000    0.000    0.000 _parser.py:82(opengroup)
